146  ALL-INDIA  RAINFALL    (1871-2016)          30 SUBDIVISIONS AREA 2880324 SQ.KM.                        
 Monthly,Seasonal and Annual rainfall (in 10th of mm) 1871-2016 (1871-2014 based on 306       
 stations and 2015-2016 based on IMD Subdivisional rainfall)                                  
----------------------------------------------------------------------------------------------------------
YEAR    JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    JF   MAM  JJAS   OND   ANN
MEAN    141   280   602  1308  2341  3777  3967  3527  2800  1403   277    84   422  4251 14072  1764 20512
P-Ann     6    13    29    63   114   184   193   171   136    68    13     4    20   207   686    86  1000
 SD     127   185   338   453   577   656   655   586   562   642   284   115   227   817  1270   719  1844
 CV     900   661   562   346   246   173   165   166   200   458  1023  1373   538   192    90   407    89
----------------------------------------------------------------------------------------------------------
146 CENTRAL NORTHEAST INDIA RAINFALL (1871-2016)  5 SUBDIVISIONS AREA  573006 SQ.KM.                        
 Monthly, Seasonal and Annual rainfall (in 10th of mm) 1871-2016 (1871-2014 based on 306      
 stations and 2015-2016 based on IMD Subdivisional rainfall)                                  
----------------------------------------------------------------------------------------------------------
YEAR    JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    JF   MAM  JJAS   OND   ANN
----------------------------------------------------------------------------------------------------------
1871     46   170   121   547   694  2223  3871  2856  2980   128     1   156   216  1362 11930   285 13793
1872    255   149    44   103   249  2340  3210  2885  1958   984   174    26   404   396 10393  1184 12377
1873     54    11   269   112   262   609  3843  2580  1714   462    33    85    65   643  8746   580 10034
1874    151   282   117    51   234  2722  3186  3362  2323  1097   185     5   433   401 11593  1287 13715
1875    225   153     9   120   519  1594  3344  2958  2413   515     0    12   378   648 10309   527 11862
1876     10     5    80   161   324   960  3222  2396  2391  1044     0     0    15   565  8969  1044 10593
1877    483   443   253   306   672  1054  1989  1871  1230   856    16   288   926  1231  6144  1160  9460
1878    257    80   114   284   773   735  2549  3045  2058   524   252   132   337  1171  8387   908 10802
1879      8   114    39     7   526  1521  3666  3651  2622   987    45    71   122   572 11460  1103 13256
1880     25   365    18    88   584  1810  3418  2679  1719   761   287    46   390   690  9626  1094 11799
1881      9    31   462    71   467  2069  3237  3377  1306   837    51    11    40  1000  9989   898 11927
1882     36   113    15   157   621  1812  3078  2983  1447   814   262    23   149   793  9320  1099 11361
1883    415    47   256    69   305  2589  3294  1775  1685   263   133    88   462   630  9343   483 10919
1884      7    79    26   103   287  1784  2603  3016  2691   934    14    36    86   416 10094   984 11580
1885    152   205   101    64   470  2006  3214  3492  1699   275   144   508   357   635 10411   927 12330
1886     72     9   381    34   650  1940  3340  3033  2445  1390   184   175    80  1065 10758  1749 13652
1887    289     0    80   111   920  1474  3124  3375  1736   650    67     4   289  1111  9709   721 11830
1888    275   147    80   103   353   733  3808  4265  1985   136   249     1   422   536 10791   386 12135
1889    260   258    34    57   287  2309  3520  3232  1886   863   587     4   518   378 10947  1454 13297
1890     15     7   196    80   389  2881  4386  2839  2287   702   123    47    22   665 12392   872 13952
1891    190   113   719    46   730   772  2053  4016  2881   389   222     0   303  1495  9722   611 12131
1892     38   166     4    49   223  1704  3604  3465  1661   529    89    21   204   276 10434   639 11553
1893    321   533   388   193  1255  2185  3472  2529  3258  1102   124     1   853  1836 11443  1227 15360
1894    125   231    49   140    84  2287  3613  3676  2120  1944   477   119   356   273 11696  2539 14865
1895    210   108    60   265   335  2685  3200  2999  1541   414    37    25   318   660 10425   476 11878
1896     12    22    50    19   321  2296  3090  3220  1026     0    93    91    34   390  9632   184 10239
1897    116   187   356   184   242  1703  3033  3498  1914  1211   129     3   303   782 10147  1343 12576
1898      8   407    13   128   363  1540  2989  3588  2764   506    28    55   415   504 10881   589 12389
1899    158    50    11   490   511  2519  4120  2308   964   440     0     1   208  1012  9911   441 11572
1900    416    78    64   237   431  1537  2633  3076  3134   636     0   191   493   732 10380   827 12432
1901    573   466    96   162   404   439  2423  3506  1799   271   313    19  1039   662  8167   603 10471
1902     39    24   103   308   414   688  3943  2370  2463   199    35    78    63   825  9464   312 10664
1903    143    74    38   150   360  1142  2047  3123  2165  2286    90    29   217   548  8477  2405 11647
1904     46    73   203    50   724  2356  3707  3345  1235   584    94   132   119   977 10643   810 12549
1905    246   277   401   217   524   414  3155  3005  2606   127     1    16   523  1142  9180   144 10988
1906    164   764   249     3   269  1863  3304  2950  1861   485    38   108   928   521  9978   631 12058
1907     34   551   440   385   216  1679  2031  3640  1216    83    45   110   585  1041  8566   238 10430
1908    222   194    54    20   271  1291  2931  3697  1251   250     2     4   416   345  9170   256 10187
1909    119    70    11   833   173  2748  3683  2502  1894   225     5   280   189  1017 10827   510 12542
1910     96    36    22   164   366  1908  2789  3614  2367  1341   144     1   132   552 10677  1486 12847
1911    237     8   319    74   245  2487  1193  3377  3149   808   364     6   245   638 10206  1178 12267
1912    107   212   129   196   298   883  3273  3335  1640   271   431     2   319   623  9131   703 10777
1913     10   571   252    30   757  2511  2788  2945  1354   591   134   129   581  1039  9598   854 12072
1914      4   185   188   252  1004  1274  3725  3235  1814   116    13    28   189  1444 10048   157 11838
1915    126   434   334    89   495  1178  2609  3208  2656   736   509    10   560   918  9651  1255 12384
1916      0   147     1   165   250  2423  3053  3305  2203  1435   211     0   147   416 10984  1646 13193
1917     41   409   144   101   685  2112  3135  2671  2824  1830    45    19   450   930 10742  1894 14016
1918     57     1   108   150   633  2468  1498  3228  1527    37    27    12    57   891  8721    76  9746
1919    615   173   136   139   356  1950  3411  3460  1845   679   296    53   788   631 10666  1028 13113
1920      9   164   334    82   312  1221  4991  2135  1550   145     0     0   173   728  9897   145 10943
1921    427    36    30   130    82  1769  2736  3798  2675   390    54     4   463   242 10978   448 12131
1922    234    37     0    72   162  2137  4199  3708  2875   250    93    95   271   234 12918   438 13862
1923     14   536    38    63   270   901  2760  3626  2051   774   312   116   550   371  9338  1202 11461
1924    190   115    19    50   287   791  3802  2700  2897   610   763    70   305   356 10190  1443 12294
1925     55    12    45   298   535  2145  4230  2981  1849   689    88    28    67   878 11205   805 12955
1926    210    54   614   206   392   381  3546  3819  2303   397    13    53   264  1212 10049   463 11988
1927    105   398   205    40   397  1355  3388  3311  1510   770   407    32   503   642  9564  1209 11917
1928    282   447    25   286   323  1665  3721  1795  1231  1400    32    87   729   634  8412  1519 11293
1929    382    91    85   147   175  1523  3699  3582  1053  1484     1   399   473   407  9857  1884 12621
1930     94   142    64   146   171  1157  3891  2669  2401   353   678    81   235   381 10117  1112 11847
1931     26   445   120    52   184   691  3106  3148  2947  1342   199     5   471   356  9892  1545 12264
1932      0   182    71   103   331   844  2910  2575  2277   289   639    39   182   505  8606   967 10260
1933    200   331    48   349   885  2224  3068  3425  2070  1009    62    49   531  1282 10787  1120 13720
1934    255    46    98    56    75  1668  3349  3300  2277   430    66    45   301   229 10594   541 11665
1935    188   162    54   173    57   926  3407  3105  2447    56     6    88   350   283  9885   150 10669
1936    102   262    89    51   833  3099  4369  3319  2749   947    90   145   364   973 13536  1182 16055
1937      0   777    72   275   506  1425  2973  3149  1879   962     2    37   777   853  9426  1000 12056
1938    204   178    37    53   687  2521  3218  3271  1849   751    75     0   381   777 10859   826 12844
1939    100   262   164    84   130  1872  3337  2890  2418   848    40    10   362   378 10517   898 12155
1940     64   342   602   123   518  1470  3671  3667  1288   353    12   195   406  1243 10096   560 12305
1941    273    34    32    58   400  2029  2271  3160  1665   797   202     4   307   490  9125  1002 10924
1942    316   421    85   169   160  1426  3632  3612  2848   227   265    44   737   414 11518   536 13205
1943    485    82    38   361   313  1227  3429  4451  2427   394    39     0   567   712 11533   433 13246
1944    293   515   559   286   134  1304  3613  3411  1491   810    25    12   808   979  9819   847 12452
1945    416    93     7   272   329  1053  2987  2592  2992  1321    24    37   508   608  9624  1382 12123
1946      2   159    66   527   623  1681  3621  3018  1757  1138   263    45   161  1216 10077  1446 12900
1947    172   135   186    64   256  1269  3522  2868  2157   732    43   226   307   506  9816  1001 11630
1948    214   199   100   107   372  1328  3665  3642  2421   717   431     6   413   579 11056  1154 13202
1949     79   315    59   206   567  1121  3405  3549  2415  1323     3     0   394   832 10490  1326 13042
1950    128   136   366    12   375  2223  3012  3303  1529   233   408   108   264   753 10067   749 11833
1951    130    48   409   161   323  1382  2625  2669  1851   675   189     0   178   893  8527   864 10462
1952     26   121   255   238   311  2204  2490  3461  2124   630    19    21   147   804 10279   670 11900
1953    355    57    12    79   234  1840  3831  3560  2416   261   231     8   412   325 11647   500 12884
1954    222   243    58    33   200  1162  2704  2659  2363   782     0    47   465   291  8888   828 10472
1955    277    63    41   117   283  1656  3368  3132  2431  1720   271     1   340   441 10587  1992 13360
1956    134   196   183    74   623  2302  3104  3308  2889  1840   235    53   330   880 11602  2128 14941
1957    517   107   246    38    56   950  3275  3214  1979   181     5    42   624   340  9418   228 10610
1958    121   152    97   137   188   821  3162  3399  2578  1303   174    30   273   421  9960  1507 12162
1959    474    42    56   135   477  1227  2706  3006  1703  1810    35     7   516   668  8642  1852 11678
1960     61     1   343    53   258  1133  3536  3755  2028  1218    20    50    62   653 10452  1288 12456
1961    215   579     2    72   332  1798  3048  3754  2341  1914    37    77   794   406 10941  2027 14168
1962    203   116   126   266   210  1161  2853  3146  2418   700    19    51   319   602  9578   770 11269
1963     74    54   112   211   542  1480  2891  3292  2631  1120    98    12   128   865 10294  1230 12517
1964     21   115    16   163   503  1085  4064  2863  2394   506    35    45   136   682 10406   586 11810
1965     36    88   266   234   235   649  2961  2315  1993   556     5     6   124   735  7918   567  9344
1966    268    81    14   108   279  2037  2191  2612   940   344   312    73   349   401  7780   729  9259
1967    144     2   476   211   175  1039  2814  4169  2098   147    14   272   146   862 10119   433 11561
1968    345   112   105    83   149  1643  3092  2590  1417   999   138    27   457   336  8742  1164 10700
1969     35    42    59   157   579  1157  3751  3120  2269   247   323    33    77   795 10297   603 11772
1970    234   493   278   116   497  1878  2420  2701  2667   658    51     0   727   891  9666   709 11992
1971    201   201    48   668   696  2531  3182  3967  1880  1425    38     0   402  1412 11560  1463 14837
1972     51   321    27    90    59   697  2315  2774  2303   540   215     4   371   176  8088   759  9396
1973    132   109   164    39   432  1396  3106  3166  2274  1663    68    61   240   635  9942  1792 12610
1974      7    27   191    62   349   798  3212  2871  1537   586    48    66    34   602  8418   700  9754
1975    122   143   156   103   180  1904  3435  2821  2218   724    48     0   265   439 10378   772 11854
1976     28   114    59   135   426   945  2947  3441  2524   221   115    10   142   620  9857   346 10965
1977    121    59    22   349   663  1364  3965  2732  1783   806   335   127   180  1034  9844  1268 12326
1978    129   328   354   114   222  1957  2894  3280  2191   733    79    96   456   690 10322   908 12377
1979    224   311    70   157   153  1246  2907  1511   941   375   263   117   535   380  6605   755  8275
1980     88    74   258   114   400  2207  4130  3041  2369   479    16    92   162   772 11747   587 13267
1981    260   134   262   253   634  1195  3869  2600  2293    48    92    72   394  1149  9957   212 11712
1982    154   188   557   221   372  1452  1992  3807  1770   279   162    51   341  1150  9021   491 11005
1983    127   205   100   424   595  1233  2848  2823  2919   851    10   145   332  1119  9822  1006 12280
1984    216   316    11   197   370  2981  3482  3452  1761   298     0    15   532   578 11676   313 13099
1985    173   117    14    99   388  1114  3311  2938  2837  1719     5    65   290   501 10200  1789 12780
1986    143   353    48   235   602  1833  3389  2531  1493   933   381   264   496   885  9246  1577 12205
1987    117    86    95   187   464   733  3102  2813  2220   586   413    51   203   746  8868  1049 10867
1988     30   205   304   292   272  1874  3109  3327  1588   461    12    87   235   868  9898   560 11560
1989    110    39   129    11   532  2089  3122  2767  2211   270    27   136   149   672 10189   433 11442
1990      1   492   373   289   809  1672  3939  2734  2252   817   377    73   493  1471 10597  1267 13827
1991    155    96   191   136   196  1434  2462  4138  1995   278   159   235   251   523 10029   672 11475
1992     67    98     5    51   483  1234  2935  3071  1451   515   107     2   165   539  8691   624 10019
1993     22    61   182   270   514  1819  2026  2572  3031   382   100     0    83   966  9448   482 10978
1994    206   230     5   230   331  1878  3507  3511  2075   474    63     1   436   566 10971   538 12511
1995    267   174   126    48   958  1160  2546  3183  2477   575   596    94   441  1132  9366  1265 12204
1996    294   265    19   120   142  1884  2155  3381  1536   502     7     2   559   281  8956   511 10306
1997    112    16    96   354   297  1696  3402  3332  1939   445   261   465   128   747 10369  1171 12415
1998    218   207   320   210   417  1012  3113  3175  2013  1009   297     8   425   947  9313  1314 11999
1999     72    31     0    10   829  1946  3106  2896  2404  1328    64    15   102   839 10352  1407 12701
2000     35   262    34   195   636  2249  2613  2268  2077   178    30     0   297   865  9207   208 10577
2001     22    26   209   175   720  2804  3696  2139  1497  1243   120     0    48  1104 10136  1363 12651
2002    171   205    80   133   544  1040  1486  2498  2193   368    44    32   376   757  7217   444  8794
2003     99   340   171   180   220  1582  2945  2980  2747  1435    75   162   439   571 10254  1672 12936
2004    189    38    28   392   404  1834  2476  2713  1410  1054    24     8   226   824  8433  1086 10570
2005    227   181   174    81   305  1125  3313  2204  2141   906    43    59   408   560  8782  1008 10759
2006      8     0   275   210   794  1765  3779  3275  1961   290    92    19     8  1279 10780   401 12467
2007      9   524   248    96   512  1807  3173  3077  2630   388    54    10   533   856 10687   452 12528
2008    201    65    87   128   466  3195  3932  3376  2021   155    52     0   266   681 12524   207 13677
2009     23    23    40    39   634   665  3184  2637  1930   962   158    35    46   713  8416  1155 10330
2010     52    95    34    45   601   837  2751  2350  2268   695   175   163   147   680  8206  1033 10066
2011     19   126    63   264   618  2332  2230  3089  2629   157     3     7   145   945 10280   167 11537
2012    370    54    46   255   128   845  3093  3170  2073   310   356    35   424   429  9181   701 10734
2013     72   406    32   272   462  2743  2697  2584  1490  2357    14    22   478   766  9514  2393 13151
2014    271   385   194    46   671   826  3143  2452  1686   682     7    60   656   911  8106   748 10422
2015    228    40   345   396   229  1544  2622  2222  1036   159    24    77   268   970  7423   260  8922
2016     62    64   111    27   608  1185  3290  2539  2156   526    35     1   126   746  9170   562 10603
----------------------------------------------------------------------------------------------------------
     Values are up to 1 decimal                                                               
----------------------------------------------------------------------------------------------------------
MEAN    156   184   146   163   418  1609  3155  3075  2080   715   137    63   340   729  9921   915 11907
P-Ann    13    15    12    13    35   135   265   258   174    60    11     5    28    61   833    76  1000
 SD     131   163   146   129   218   623   596   507   522   488   157    85   209   307  1150   513  1331
 CV     841   889   997   793   521   387   189   164   251   682  1145  1351   615   421   115   560   111
----------------------------------------------------------------------------------------------------------
146 PENINSULAR INDIA RAINFALL  (1871-2016)        6 SUBDIVISIONS AREA  442908 SQ.KM.                        
 Monthly, Seasonal and Annual rainfall (in 10th of mm) 1871-2016 (1871-2014 based on 306      
 stations and 2015-2016 based on IMD Subdivisional rainfall                                   
----------------------------------------------------------------------------------------------------------
YEAR    JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    JF   MAM  JJAS   OND   ANN
----------------------------------------------------------------------------------------------------------
1871    514   107   339   427   873  1611  2107   986  1504  1012  1598   108   621  1639  6208  2718 11186
1872      4    41    33   299   968  1817  2222  1631  1744  1576  1519   600    45  1300  7414  3695 12454
1873      1   392    23   505   711  1500  1626  1340  1110  2543   461   211   393  1239  5576  3215 10423
1874      2    69    14   225  1915  2236  2317  1124  2484  2418   783   227    71  2154  8161  3428 13814
1875     55    21   147   286   608  1757  1701  1519  1232  1530   341   205    76  1041  6208  2076  9402
1876      1     0   157   216   512  1396  1852  1292   697   470   331   128     1   885  5237   929  7052
1877     38    56   278   229   960  1747   777  1361  2072  2597   875   759    94  1467  5957  4231 11749
1878     60     0    60   506   847  1882  2199  3002  2295  1911   805   636    60  1412  9378  3352 14203
1879     84    73   315   146  1978  1473  1981  1714   943  1639   999   197   157  2439  6111  2835 11542
1880     45    57    50   426   894  1637  1612  1259   917  1832  2348   440   102  1370  5425  4620 11517
1881     51     0   136   128   695  1100   849  2161  1525   646  1464   303    51   959  5635  2413  9058
1882    241    10    40   195  1115  1790  2649  1498  1554  1438  2337   317   251  1350  7491  4092 13183
1883     17   106   167   270   772  1663  2029  1893   756  2715  1309   510   123  1209  6341  4534 12207
1884     84    17    41   138   454  1107  1189  1761  1244  2211  1585   988   100   633  5301  4784 10819
1885     16     9   159    89   615  2096  1928  1054  1313  1992  1270   952    25   863  6391  4214 11493
1886     45     2    99   117  1473  1734  2379  1841  1383  2200   937   295    47  1689  7337  3432 12505
1887      0    17   102   321   589  2333  1485  1414  1257  2483  1633   706    17  1012  6488  4822 12340
1888     24     8    12   294  1178  2025  1556  1335  1204  1348  1817   447    32  1484  6120  3612 11247
1889     27     6    77   444   594  2108  1991  1743  2495  2093   458   422    33  1115  8337  2973 12458
1890     31    38   146   576   667  1790  1817  1257  1143  1567  1064   178    69  1389  6007  2809 10274
1891     39   228   178   349   557  1433  1482  1020   783  2088   567   461   267  1084  4718  3116  9185
1892      6    71    55   569   823  1622  2380  2707  1294  2463   275   181    77  1447  8003  2919 12446
1893     55   137   479   348   912  1991  2008   999  1202  1949  2586    85   192  1739  6200  4620 12751
1894     70   125   258   538   564  1288  1525  1887  1165  2299   855   169   195  1360  5865  3323 10743
1895      5    10    31   673   587  1485  2018  1547  1611  2456   564   528    15  1291  6661  3548 11515
1896     67     0    44   162   730  1997  1645  1779  1201   735  1766   648    67   936  6621  3149 10774
1897     52   276   123   295   694  1885  1975  2101  2615  1156   506   101   328  1112  8576  1763 11778
1898     41   143    26   420   645  1628  1736   983  2205  1854  2205   480   184  1091  6552  4539 12366
1899     26    59    28  1329   658  1365   624   836  1463  1648   211   114    85  2015  4288  1973  8361
1900     79     6    12   760   487  1754  2260  1282  1670  1417   565   321    85  1259  6966  2303 10612
1901    137   551    95   348   670  1775  1570  1137  1491  1380  1805   557   687  1113  5973  3742 11516
1902    230    37   145   270   641  1289  2312  1473  1895  2645  1099   972   267  1056  6968  4716 13007
1903    120    31     1   140  1236  1601  2541  1817  2202  1697  2216   852   151  1377  8161  4765 14453
1904    196     3    52   219  1254  2035  1862   845   946  1753   103   230   199  1525  5688  2086  9497
1905     27   101   185   350   842  1706  1127  1804   858  2043   542    15   128  1377  5495  2600  9599
1906    374   137   106    62   356  1609  2173  2259  1127  1439   888  1130   511   524  7168  3457 11660
1907     65    13   165   763   357  1842  1917  1684  1265   989  1318   469    78  1285  6708  2776 10847
1908    250   124   141   260   597  1258  2262  1310  1849  1674   241    65   374   998  6679  1980 10031
1909    628    51    86   641  1590  1515  1952  2359  1536   949   437   250   679  2317  7361  1636 11993
1910     23    85    46   303   476  1830  2167  2095  1474  2556  1226     3   108   825  7566  3785 12284
1911     10     7    76   256   749  1830  1758   811  1065  1455  1229   664    17  1081  5464  3348  9910
1912     24    33    48   277   552  1716  2096  1930  1530  2362  1567   103    57   877  7272  4031 12237
1913     11    45    22   179   761  1243  1927   760  1347  2287   806   602    56   962  5277  3695  9990
1914     17    10    31   265   593  1413  2189  1773  1740  1701   930   637    27   889  7115  3268 11298
1915    370    97   470   357   619  1886  2167  1353  1929  1098  2339   215   467  1446  7335  3652 12900
1916      0    27    21   206   848  1804  2568  1720  1667  2468  1445   179    27  1075  7758  4091 12953
1917     36   319   189   102   801  2145  1281  2090  2203  1864  1385   229   355  1092  7718  3478 12644
1918    434    43   149   163  1640  1201   729  1082  1032   499  2497   467   477  1952  4044  3463  9936
1919    175    27   126   238   952  1471  2094  1145  1915  1401  2231   640   202  1316  6625  4272 12415
1920    628    28    40   482   481  1893  1592  1110  1445  1887  1941    22   656  1003  6040  3850 11549
1921    676     3    21   627   330  1300  2162  1928  1223  2219   792   224   679   978  6613  3234 11505
1922    274    91    41   252   966  1559  2201  1184   828  1804  2566   250   365  1259  5772  4620 12016
1923    537   109   285   188   434  1316  2208  1598  1733  1781   721   540   646   907  6855  3042 11450
1924    112     6   168   326   696  1835  2894  1568  2072   890  1585   217   118  1190  8369  2692 12368
1925     76    25   284   402  1220  1671  1799  1875   960  1701  1591  1027   101  1906  6305  4319 12630
1926    381    22   274   329   595  1414  2011  1495  1641  1217   585    95   403  1198  6561  1897 10059
1927    113   129   188   274   746  1806  2129  1187  1883   724  1636   115   242  1208  7005  2475 10930
1928     96   426   113   416   462  1408  1735  1706   925  2501   783   400   522   991  5774  3684 10971
1929     84   250    98   809   624  2300  1595  1067  1728  1694  1206   421   334  1531  6690  3321 11876
1930    204   265   148   206  1815  1753  1166   930  1622  3516  1456   414   469  2169  5471  5386 13495
1931    101     0    18   391   673  1475  1908  1994  1520  1457  1518  1321   101  1082  6896  4296 12376
1932      4   266    64   325  1518  1072  1719  1783  1255  2140  1848   297   270  1907  5828  4285 12291
1933      8    24   238   404  1815  1695  2111  2120  1458  2305   703   671    32  2457  7383  3679 13552
1934    385     8    56   352   436  2024  1555  1181   549  2233   825    85   393   843  5309  3143  9689
1935    200    14    68   404   236  1415  1744  1812  1186  2056   559   286   214   708  6156  2901  9980
1936     24   431   335   222  1234  1801  1887  1107  1476  1299  1827   259   455  1791  6271  3384 11902
1937     45   190   168  1001   543  1192  2345  1135  1155  2031  1301   139   235  1712  5827  3471 11245
1938      0   283   237   343   642  1676  1778  2062  2011   789   562   199   283  1222  7527  1550 10582
1939    166    21   197   948   414  1530  1549  1369  1243  2783  1830    44   187  1559  5691  4657 12094
1940      6     8   170   474  1328  1730  2003  1928  1272  1890  2362   376    14  1972  6933  4628 13547
1941    106    56    18   410   937  1871  1133  1255  1723  1620  1224   722   162  1365  5982  3565 11074
1942      1    22    41   554   648  1999  1743  1432  1027  1409   613   856    23  1243  6201  2878 10345
1943    558   104    78   531  2199  1699  1759   916  1401  3063   995   218   662  2808  5775  4276 13521
1944     94   204   723   217   622  1711  2007  1150  1304  2343  1667   492   298  1562  6171  4502 12533
1945     21    25    23   492   499  1293  2390  1433  1093  1291  1120    61    46  1014  6208  2472  9741
1946     59    19   299   483   678  1937  1764  1896  1396  1550  2771  1534    78  1460  6992  5855 14386
1947    304   119   253   542   381  1421  2112  2351  1922  1444   258   403   423  1176  7806  2105 11510
1948    208    61   129   349   872  1733  1784  1640  1097  1210  1903   169   269  1350  6254  3281 11155
1949     34     8     7   384  1442  1574  2414  1968  1918  1703   569    19    42  1833  7873  2291 12040
1950      4   310   110    94   785  1413  2284  1514  1655  1495   951   141   314   989  6866  2587 10756
1951     47     3   208   781   894  1767  2159  1011  1432  1140  1207    45    50  1882  6368  2392 10694
1952     49   211    60   261  1236  1410  1424  1295   514  1739   142  1033   260  1557  4643  2914  9374
1953     94    51    30   696   345  1321  2941  1153  1426  3129   437    61   145  1071  6841  3627 11684
1954    275    13   333   430   914  1536  2359  1846  1097  2344   108   587   288  1677  6838  3039 11842
1955    114    25   115   621  2015  1661  1402  1652  1934  2071   888   648   139  2751  6649  3607 13146
1956     93    17    15   561  1060  2045  1931  1281  1565  2890  1553   294   110  1636  6822  4737 13305
1957      7    37   145   197  1172  2208  1930  1491   836  1722  1333   271    44  1514  6465  3326 11348
1958     58    71   145   517  1164  1626  1758  2068  1123  1981  1313   126   129  1826  6575  3420 11950
1959     24   237     8   508   935  2160  2619  1372  1608  1417   966   258   261  1451  7758  2640 12112
1960     28    37   145   413  1141  1317  2210   949  2216  1180  2181   142    65  1699  6692  3503 11958
1961    278   145    32   300  1363  2473  2895  2091  1571  1941   810   184   423  1695  9030  2935 14082
1962     77   167    89   503  1540   919  2081  2020  1899  3065   457   610   244  2132  6919  4132 13427
1963    298    40   196   551   520  1293  1935  2041  1196  2064   820   579   338  1267  6465  3463 11533
1964      7     6   112   151   519  1231  2520  1874  2309  1568  1317   285    13   782  7934  3170 11899
1965     38    39    40   389   477  1353  1486  1752  1192   730   752  1065    77   906  5783  2547  9313
1966    136    23    78   247   747  1430  1976  1400  1764  1992  2339   560   159  1072  6570  4891 12692
1967    200     1   308   218   644  1602  2422  1336  1052  1309   723   928   201  1170  6412  2960 10742
1968     24    84   250   713   398  1562  2421   815  1699  1350  1015   342   107  1361  6496  2707 10672
1969      9    40    39   318  1131  1282  2017  1511   874  2532  1401   758    49  1488  5684  4691 11912
1970     57    58   101   478  1189  1609  1749  2212  1342  1836   908    49   115  1768  6912  2793 11588
1971    114   110   206   624  1078  1753  1651  1727  1564  1746   362   637   224  1908  6695  2745 11571
1972     18    40     2   229  1452  1436  1564   840  1546  2470   900   965    58  1683  5386  4335 11462
1973      0     1    18   236   577  1505  1680  1946  1225  2119   591   535     1   831  6356  3245 10433
1974      7    99    76   345  1037  1036  2337  1397  2448  1696   426    75   105  1457  7218  2197 10979
1975     20    47   296   236   743  2287  2241  2075  2014  2385  1173   170    67  1275  8617  3728 13687
1976      5     1    83   528   386   903  1955  1889   811  1348  2349   190     6   997  5558  3887 10447
1977     12    65   113   492  1258  1666  1999  1592  1117  2666  2406    92    77  1863  6374  5164 13477
1978     53   187    44   387  1077  1996  2257  1765  1829  1228  1734   841   240  1508  7846  3803 13398
1979      8   279    62   257   821  1673  1570  1148  1967  1161  2785   284   287  1140  6358  4230 12015
1980      6     8    42   446   523  1940  1900  1617  1093  1323  1423   335    14  1011  6550  3081 10656
1981    120    21   243   299   760  2020  1850  1841  2244  1992   807   311   141  1302  7955  3110 12507
1982      7     0    55   266   668  1654  1616  1525  1010  1384  1416   163     7   989  5805  2963  9764
1983      2    16    31    52   664  1411  2043  2477  2520  1421   659  1182    18   747  8451  3262 12478
1984    192   802   626   519   352  1505  2083   826  1311  1354   799   357   993  1497  5725  2509 10726
1985    448    46   113   273   543  1831  1497  1496  1134  1468  1107   583   493   928  5958  3158 10539
1986    398   227   102   247   502  1593  1098  1741  1442  1320  1158   238   625   851  5874  2716 10066
1987     79     1   192   212   495  1619   943  1706  1119  2162  1697   915    80   899  5387  4774 11140
1988      0    39   168   682   720  1397  2411  2404  2232   597   569   314    39  1570  8444  1480 11533
1989     23     0   274   253   526  1719  2811  1385  1783  1070   789   207    23  1053  7698  2066 10839
1990    265   123   290   189  2170  1280  1451  1697  1191  2099  1235   153   388  2649  5618  3486 12143
1991    147    29    67   316   581  2839  1996  1626  1399  2099  1721   138   176   963  7860  3958 12958
1992     55     7     0   209   720  1927  1876  1837  1553  1455  2260   201    62   929  7193  3916 12099
1993      2    31    91   243   654  1532  1990  1418  1123  2579  1636  1034    33   988  6063  5249 12332
1994    115   157    42   521   646  1722  2376  1532   886  2672  1509   192   272  1209  6516  4373 12370
1995    247    11   132   345  1880  1444  2299  2068  1347  1691   715    14   258  2357  7158  2420 12193
1996     15    19    26   683   417  2490  1881  1865  2052  2195   678  1114    34  1126  8288  3986 13435
1997    119    11   171   440   498  1505  2207  1632  1859  1822  1888  1184   130  1109  7203  4894 13336
1998     52    56    41   410   540  1745  1967  1744  2326  2024  1508   787   107   991  7781  4319 13200
1999     23    82    20   419  1314  1599  1907  1183  1022  2465   912   223   105  1752  5711  3600 11169
2000    105   582    36   380   821  1827  1477  2527  1406  1375   696   457   687  1237  7236  2528 11688
2001     65    69    24   943   676  1383  1489  1291  1652  2110   825   273   134  1643  5815  3208 10800
2002    167   234    54   261   993  1481   845  1329   655  2260   780   127   401  1308  4310  3167  9186
2003     16    76   282   329   299  1592  2046  1480   921  2153   614   231    92   910  6038  2998 10039
2004     53    13    64   405  2241  1518  1662  1095  1558  1851   847    76    66  2710  5833  2774 11382
2005     48    69    68   942   716  1349  2142  1411  1808  3022  1569   620   117  1726  6710  5211 13764
2006     49     3   470   350  1437  1777  1457  1390  1798  2181  1368   145    52  2257  6422  3694 12425
2007     19    67    20   596   724  2426  1988  2296  2058  2092   457   667    85  1340  8768  3215 13409
2008     86   383  1316   301   501  1324  1615  1968  1323  1743  1742   207   469  2118  6230  3692 12508
2009     25     0   199   280   705  1286  2000  1525  1888   799  2040   537    25  1184  6699  3376 11283
